Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_610.jpg;0;0.1016917;0;2.167523;103.3848;89.1937;1.108497;41.20392;-0.0004129035
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_678.jpg;0;0;0;2.16333;103.5137;89.30575;0.9814699;41.18813;-0.0002896319
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_744.jpg;0;0;0;2.156934;103.6096;89.38908;0.8512112;41.17693;-0.0001071071
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_811.jpg;0;0;0;2.147892;103.7049;89.47189;0.7008815;41.16656;0.0007888658
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_878.jpg;0;0;0;2.141039;103.8312;89.58178;0.4823305;41.1577;0.01121253
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_16_945.jpg;0;0;0;2.134123;103.9254;89.66393;0.3135416;41.15546;0.02671581
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_010.jpg;0;0;0;2.124808;104.0192;89.74585;0.1439631;41.15556;0.04501178
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_078.jpg;0;0;0;2.11774;104.1437;89.85467;359.9191;41.15569;0.06541267
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_144.jpg;0;0;0;2.110605;104.2372;89.936;359.7726;41.1491;0.06131708
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_211.jpg;0;0;0;2.100475;104.3308;90.01734;359.6573;41.13889;0.03823746
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_277.jpg;0;0;0;2.092977;104.4554;90.12585;359.5328;41.13173;0.004187672
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_344.jpg;0;0;0;2.085411;104.5486;90.20721;359.4609;41.12893;359.9762
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_410.jpg;0;0;0;2.075297;104.6416;90.28888;359.42;41.13612;359.974
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_477.jpg;0;0;0;2.068097;104.7656;90.39748;359.3878;41.14265;359.9767
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_544.jpg;0;0;0;2.060427;104.8584;90.47864;359.3793;41.1443;359.9818
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_610.jpg;0;0;0;2.050938;104.951;90.55957;359.3763;41.14454;359.9862
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_676.jpg;0;0;0;2.043608;105.0742;90.66744;359.3962;41.15011;0.008337082
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_743.jpg;0;0;0;2.036351;105.1664;90.74798;359.4171;41.15079;0.02237337
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_810.jpg;0;0;0;2.027023;105.2583;90.82825;359.4391;41.15086;0.0344755
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_877.jpg;0;0;0;2.019876;105.3806;90.93488;359.4829;41.14607;0.03332946
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_17_944.jpg;0;0;0;2.01277;105.4719;91.01462;359.5163;41.14549;0.03231136
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_010.jpg;0;0;0;2.003623;105.5628;91.09405;359.5463;41.1454;0.03090367
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_077.jpg;0;0;0;1.996806;105.6835;91.19948;359.5803;41.14539;0.02828217
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_144.jpg;0;0;0;1.990022;105.7736;91.27819;359.601;41.14538;0.02585764
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_210.jpg;0;0;0;1.981024;105.8633;91.35658;359.6174;41.14539;0.02313397
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_277.jpg;0;0;0;1.974308;105.9825;91.46062;359.6392;41.1427;0.01211607
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_344.jpg;0;0;0;1.96741;106.0715;91.53836;359.654;41.14203;0.00297715
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_410.jpg;0;0;0;1.958534;106.1601;91.6158;359.6638;41.14193;-0.005120369
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_477.jpg;0;0;0;1.951907;106.2777;91.71856;359.6696;41.14192;359.9854
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_544.jpg;-1.495664;0;0;1.945229;106.3659;91.79503;359.6782;41.07072;359.9763
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_610.jpg;-4.501755;0;0;1.935724;106.4549;91.86982;359.6854;40.75048;359.9307
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_677.jpg;-7.492815;0;0;1.92724;106.5758;91.96586;359.7025;39.82759;359.8002
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_744.jpg;-4.493515;0;0;1.919124;106.6667;92.03684;359.7244;39.17;359.7082
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_810.jpg;-1.502906;0;0;1.910834;106.7572;92.10799;359.7492;38.78367;359.6499
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_877.jpg;0;0;0;1.90439;106.8762;92.20356;359.7738;38.69564;359.6297
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_18_944.jpg;0;0;0;1.897843;106.9651;92.27491;359.7867;38.6909;359.6289
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_19_010.jpg;0;0;0;1.889316;107.0536;92.34599;359.7958;38.69198;359.6398
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_19_077.jpg;0;0.09995699;0;1.882891;107.1712;92.44028;359.8003;38.69223;359.6637
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_19_143.jpg;0;0.2993517;0;1.882003;107.2596;92.51123;359.8174;38.69341;359.6906
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_19_210.jpg;0;0.5009279;0;1.895729;107.349;92.58289;359.8639;38.69378;359.7214
